Filter ID:,54410,,LOCATION ID:,1,,,,,,,,,,,,
Date,Time,AT Max,AT Avg,AT Min,FT Max,FT Avg,FT Min,Diff Temp,BP,FP,FR Max,FR Avg,FR Min,Volume,CV,ET
dd/mm/yy,hh:mm:ss,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,mbar,mmHg,Lpm,Lpm,Lpm,M3,%,HH:MM:SS
Machine Start at:,6/11/2024,10:16:35,,,,,,,,,,,,,,
6/11/2024,10:21:35,27.6,27.4,26.9,25.3,25.1,25,2.2,950,25.2,23,17.1,16.8,0.085,8.26,0:05:00
6/11/2024,10:26:35,27.9,27.7,27.6,25.5,25.3,25.1,2.4,950.4,24.6,16.8,16.69,16.6,0.169,1.71,0:10:00
6/11/2024,10:31:35,28.3,28,27.8,26.3,25.9,25.5,2.1,950.4,24.6,16.8,16.7,16.6,0.252,1.39,0:15:00
6/11/2024,10:36:35,29.1,28.6,28.3,27.3,26.8,26.3,1.8,950.4,24.6,16.8,16.71,16.6,0.336,1.19,0:20:00
6/11/2024,10:41:35,30.6,29.8,29.1,28.4,27.9,27.3,1.8,950.4,24.6,16.8,16.67,16.6,0.419,1.09,0:25:00
6/11/2024,10:46:35,33,31.7,30.6,29.6,29,28.4,2.7,950.4,24.6,16.7,16.64,16.6,0.502,1.02,0:30:00
6/11/2024,10:51:35,35.8,34.4,33,30.8,30.2,29.6,4.2,950.4,24.6,16.8,16.76,16.6,0.586,0.93,0:35:00
6/11/2024,10:56:35,38.2,37,35.8,31.9,31.4,30.8,ERRO,950.4,24.6,16.8,16.68,16.6,0.67,0.88,0:40:00
6/11/2024,11:01:35,40.3,39.2,38.2,33.3,32.7,31.9,ERRO,950.7,24.6,16.7,16.67,16.6,0.753,0.83,0:45:00
6/11/2024,11:06:35,42.1,41.2,40.2,34.6,34,33.3,ERRO,951.8,24.6,16.8,16.69,16.6,0.836,0.79,0:50:00
