Filter ID:,54404,,LOCATION ID:,2,,,,,,,,,,,,
Date,Time,AT Max,AT Avg,AT Min,FT Max,FT Avg,FT Min,Diff Temp,BP,FP,FR Max,FR Avg,FR Min,Volume,CV,ET
dd/mm/yy,hh:mm:ss,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,mbar,mmHg,Lpm,Lpm,Lpm,M3,%,HH:MM:SS
Machine Start at:,01-11-2024,08:11:27,,,,,,,,,,,,,,
01-11-2024,08:16:27,24.4,24.1,23.8,26.6,26.5,26.3,2.3,948.7,25.1,22.4,17.01,16.7,0.085,6.49,00:05:00
01-11-2024,08:21:27,24.7,24.5,24.4,27.2,26.9,26.5,2.3,949.6,24.9,16.8,16.7,16.6,0.168,1.3,00:10:00
01-11-2024,08:26:27,25,24.8,24.7,27.6,27.4,27.2,2.5,950.4,25,16.8,16.68,16.6,0.252,1.09,00:15:00
01-11-2024,08:31:27,25.2,25.1,25,28,27.8,27.6,2.7,950.9,25.1,16.7,16.62,16.6,0.335,1.03,00:20:00
01-11-2024,08:36:27,25.4,25.3,25.2,28.2,28,27.9,2.7,951.6,25.1,16.7,16.71,16.6,0.418,0.9,00:25:00
01-11-2024,08:41:27,25.5,25.4,25.3,28.4,28.3,28.2,2.8,951.6,25.1,16.7,16.64,16.6,0.501,0.85,00:30:00
01-11-2024,08:46:27,25.7,25.6,25.5,28.7,28.6,28.4,2.9,951.7,25.1,16.8,16.75,16.7,0.585,0.77,00:35:00
01-11-2024,08:51:27,26,25.8,25.7,29,28.8,28.7,2.9,951.8,25.1,16.7,16.66,16.6,0.669,0.73,00:40:00
01-11-2024,08:56:27,26.2,26,25.9,29.3,29.1,29,3,951.8,25.1,16.7,16.63,16.6,0.752,0.71,00:45:00
01-11-2024,09:01:27,26.4,26.3,26.1,29.5,29.3,29.2,3,951.8,25.1,16.7,16.65,16.6,0.835,0.68,00:50:00
01-11-2024,09:06:27,26.7,26.5,26.4,29.6,29.5,29.5,3,951.8,25.1,16.7,16.73,16.7,0.919,0.64,00:55:00
01-11-2024,09:11:27,26.9,26.8,26.6,29.7,29.6,29.5,2.8,951.9,25.1,16.7,16.68,16.6,1.002,0.61,01:00:00
01-11-2024,09:16:27,27.1,27,26.9,29.9,29.8,29.6,2.7,951.9,25.1,16.7,16.64,16.6,1.085,0.6,01:05:00
01-11-2024,09:21:27,27.3,27.2,27.1,30.1,29.9,29.8,2.6,951.9,25.1,16.7,16.65,16.6,1.169,0.58,01:10:00
