Filter ID:,5442600,,LOCATION ID:,3,,,,,,,,,,,,
Date,Time,AT Max,AT Avg,AT Min,FT Max,FT Avg,FT Min,Diff Temp,BP,FP,FR Max,FR Avg,FR Min,Volume,CV,ET
dd/mm/yy,hh:mm:ss,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,mbar,mmHg,Lpm,Lpm,Lpm,M3,%,HH:MM:SS
Machine Start at:,28-10-2024,8:06:22,,,,,,,,,,,,,,
28-10-2024,8:11:22,24,23.9,23.7,26.2,25.4,25.1,1.4,942.4,22.2,22.9,17.2,16.8,0.086,9.62,0:05:00
28-10-2024,8:16:22,24.2,24.1,24,25.6,25.4,25.2,1.3,942.4,21.2,16.8,16.71,16.6,0.169,2.02,0:10:00
28-10-2024,8:21:22,24.4,24.3,24.1,26.5,26,25.6,1.6,942.4,21.4,16.8,16.69,16.6,0.253,1.7,0:15:00
28-10-2024,8:26:22,24.7,24.6,24.4,27,26.7,26.3,2.1,942.4,21.6,16.8,16.67,16.6,0.336,1.51,0:20:00
28-10-2024,8:31:22,24.9,24.8,24.7,27.2,26.9,26.6,2.1,942.6,22,16.8,16.71,16.6,0.42,1.34,0:25:00
28-10-2024,8:36:22,25,24.9,24.8,27.8,27.4,26.7,2.4,942.8,22,16.7,16.63,16.5,0.503,1.27,0:30:00
28-10-2024,8:41:22,25.2,25.1,25,28.1,27.8,27.5,2.7,943.3,22.5,16.8,16.74,16.7,0.586,1.16,0:35:00
28-10-2024,8:46:22,25.4,25.3,25.1,28.5,28.2,27.9,2.9,942.9,22.1,16.6,16.6,16.5,0.669,1.13,0:40:00
28-10-2024,8:51:22,25.5,25.4,25.4,28.7,28.4,28,2.9,943.1,23.1,16.8,16.76,16.6,0.753,1.05,0:45:00
28-10-2024,8:56:22,25.7,25.6,25.5,28.6,28.4,28.2,2.8,944.6,23.2,16.7,16.7,16.6,0.837,1,0:50:00
28-10-2024,9:01:22,25.7,25.6,25.5,28.8,28.5,28.2,2.9,944,23.2,16.7,16.66,16.6,0.92,0.96,0:55:00
28-10-2024,9:06:22,26,25.8,25.7,29,28.8,28.6,2.9,944.6,22.7,16.6,16.58,16.5,1.003,0.95,1:00:00
28-10-2024,9:11:22,26.2,26.1,25.9,29,28.8,28.6,2.7,945.3,23.3,16.8,16.73,16.6,1.087,0.91,1:05:00
28-10-2024,9:16:22,26.3,26.2,26.1,29,28.8,28.5,2.5,945.3,23.4,16.8,16.8,16.7,1.171,0.88,1:10:00
28-10-2024,9:21:22,26.7,26.5,26.3,29.3,29.1,28.9,2.6,944.4,23.3,16.8,16.76,16.7,1.255,0.85,1:15:00
28-10-2024,9:26:22,27,26.8,26.6,29.4,29,28.9,2.2,945.3,23.3,16.7,16.71,16.6,1.338,0.82,1:20:00
28-10-2024,9:31:22,27.3,27.1,27,29.6,29.2,28.8,2,945.4,23.3,16.7,16.67,16.6,1.421,0.8,1:25:00
Residual Sample:,2:55,,,,,,,,,,,,,,,
28-10-2024,9:37:58,0,27.1,0,0,29.2,0,2,0,23.1,0,16.64,0,1.456,0.8,1:27:00
Machine Restart,,,,,,,,,,,,,,,,
28-10-2024,9:42:58,27.6,27.4,27,29.4,29.2,28.9,1.8,944.2,23.6,20.5,16.88,16.7,1.54,0.8,1:32:00
28-10-2024,9:47:58,27.8,27.7,27.6,29.4,29.1,28.8,1.4,945.2,23.4,16.8,16.71,16.6,1.624,0.78,1:37:00
28-10-2024,9:52:58,27.9,27.8,27.7,29.6,29.4,29,1.5,945.2,23.3,16.8,16.68,16.6,1.707,0.76,1:42:00
28-10-2024,9:57:58,28.3,28.1,27.9,29.9,29.6,29.5,1.5,945.3,23.3,16.7,16.66,16.6,1.791,0.75,1:47:00
28-10-2024,10:02:58,28.5,28.4,28.3,30,29.7,29.3,1.2,945.4,23.3,16.7,16.63,16.5,1.874,0.74,1:52:00
28-10-2024,10:07:58,28.5,28.4,28.3,30,29.6,29.3,1.1,945.3,23.4,16.8,16.77,16.7,1.958,0.73,1:57:00
28-10-2024,10:12:58,28.8,28.6,28.5,30.3,29.9,29.7,1.3,945.4,23.4,16.7,16.7,16.6,2.041,0.71,2:02:00
28-10-2024,10:17:58,28.9,28.8,28.7,30.3,30.1,29.7,1.2,945.4,23.4,16.7,16.64,16.6,2.125,0.7,2:07:00
28-10-2024,10:22:58,29,29,28.9,30.6,30.3,30,1.3,945.4,23.4,16.6,16.61,16.5,2.208,0.7,2:12:00
28-10-2024,10:27:58,29.4,29.2,29,31.1,30.7,30.2,1.5,945.3,23.4,16.7,16.58,16.5,2.291,0.71,2:17:00
28-10-2024,10:32:58,29.4,29.4,29.3,30.6,30.5,30.2,1,945.4,23.4,16.8,16.79,16.6,2.375,0.7,2:22:00
28-10-2024,10:37:58,29.7,29.5,29.4,31.4,30.9,30.5,1.3,945.3,23.4,16.7,16.72,16.7,2.458,0.69,2:27:00
28-10-2024,10:42:58,29.8,29.7,29.7,31.1,30.9,30.6,1.1,945.3,23.4,16.7,16.67,16.6,2.542,0.68,2:32:00
28-10-2024,10:47:58,30,29.9,29.7,31.3,31.1,31,1.2,945.3,23.4,16.7,16.65,16.6,2.625,0.67,2:37:00
28-10-2024,10:52:58,30.1,30,29.9,31.6,31.1,30.7,1,945.3,23.4,16.6,16.61,16.6,2.708,0.67,2:42:00
28-10-2024,10:57:58,30.3,30.2,30.1,31.6,31.4,31.2,1.1,944.6,23.4,16.6,16.58,16.5,2.791,0.67,2:47:00
28-10-2024,11:02:58,30.5,30.4,30.3,31.7,31.4,31.2,1,944.7,23.4,16.8,16.66,16.6,2.874,0.66,2:52:00
28-10-2024,11:07:58,30.8,30.6,30.5,31.8,31.7,31.4,1,944.7,23.4,16.8,16.77,16.7,2.958,0.65,2:57:00
28-10-2024,11:12:58,30.9,30.8,30.7,32.3,31.9,31.6,1,945.3,23.4,16.7,16.72,16.7,3.042,0.64,3:02:00
28-10-2024,11:17:58,31.1,31,30.9,32.3,32.1,31.9,1,944.4,23.4,16.7,16.69,16.6,3.125,0.63,3:07:00
