Date,Abs.,V(m3),Conc.,Aveg.,compound,location,year,month
1/3/2011 0:00,0.019,228,13.41666667,14.00054012,so2,Udyoga Bhawan,2011,january
1/3/2011 0:00,0.013,240,8.720833333,,so2,Udyoga Bhawan,2011,january
1/3/2011 0:00,0.009,228,6.355263158,,so2,Udyoga Bhawan,2011,january
1/3/2011 0:00,0.024,228,16.94736842,,so2,Udyoga Bhawan,2011,january
1/3/2011 0:00,0.024,228,16.94736842,,so2,Udyoga Bhawan,2011,january
1/3/2011 0:00,0.029,216,21.61574074,,so2,Udyoga Bhawan,2011,january
1/7/2011 0:00,0.014,240,9.391666667,9.470126706,so2,Udyoga Bhawan,2011,january
1/7/2011 0:00,0.018,228,12.71052632,,so2,Udyoga Bhawan,2011,january
1/7/2011 0:00,0.017,228,12.00438596,,so2,Udyoga Bhawan,2011,january
1/7/2011 0:00,0.012,216,8.944444444,,so2,Udyoga Bhawan,2011,january
1/7/2011 0:00,0.009,216,6.708333333,,so2,Udyoga Bhawan,2011,january
1/7/2011 0:00,0.01,228,7.061403509,,so2,Udyoga Bhawan,2011,january
1/10/2011 0:00,0.009,228,6.355263158,10.78040936,so2,Udyoga Bhawan,2011,january
1/10/2011 0:00,0.023,228,16.24122807,,so2,Udyoga Bhawan,2011,january
1/10/2011 0:00,0.019,228,13.41666667,,so2,Udyoga Bhawan,2011,january
1/10/2011 0:00,0.013,240,8.720833333,,so2,Udyoga Bhawan,2011,january
1/10/2011 0:00,0.015,240,10.0625,,so2,Udyoga Bhawan,2011,january
1/10/2011 0:00,0.014,228,9.885964912,,so2,Udyoga Bhawan,2011,january
1/14/2011 0:00,0.014,228,9.885964912,9.585201429,so2,Udyoga Bhawan,2011,january
1/14/2011 0:00,0.017,228,12.00438596,,so2,Udyoga Bhawan,2011,january
1/14/2011 0:00,0.008,216,5.962962963,,so2,Udyoga Bhawan,2011,january
1/14/2011 0:00,0.012,228,8.473684211,,so2,Udyoga Bhawan,2011,january
1/14/2011 0:00,0.009,228,6.355263158,,so2,Udyoga Bhawan,2011,january
1/14/2011 0:00,0.021,228,14.82894737,,so2,Udyoga Bhawan,2011,january
1/17/2011 0:00,0.009,216,6.708333333,11.69708415,so2,Udyoga Bhawan,2011,january
1/17/2011 0:00,0.014,228,9.885964912,,so2,Udyoga Bhawan,2011,january
1/17/2011 0:00,0.019,228,13.41666667,,so2,Udyoga Bhawan,2011,january
1/17/2011 0:00,0.021,228,14.82894737,,so2,Udyoga Bhawan,2011,january
1/17/2011 0:00,0.025,216,18.63425926,,so2,Udyoga Bhawan,2011,january
1/17/2011 0:00,0.01,240,6.708333333,,so2,Udyoga Bhawan,2011,january
1/21/2011 0:00,0.022,228,15.53508772,10.65095029,so2,Udyoga Bhawan,2011,january
1/21/2011 0:00,0.009,228,6.355263158,,so2,Udyoga Bhawan,2011,january
